"What is a graph kernel?","A graph kernel is a positive semi-definite similarity function K(G,G') between graphs, allowing algorithms like SVMs to work on graph data without explicitly constructing high-dimensional feature vectors."
"Why are kernels useful for graph data?","They let us compare structured objects such as graphs using only kernel values K(G,G'), instead of manually converting each graph into a fixed-length vector."
"What is the main idea of a convolution kernel?","A convolution kernel decomposes structured objects into parts and compares objects by summing similarities between their parts: K_D(d,d') = sum over parts p of d and p' of d' of K_P(p,p')."
"What are P and R in convolution kernels?","P is the space of parts or components, and R is the relation saying when a part p belongs to an object d. R^{-1}(d) is the set of all parts of d."
"What is graph isomorphism?","Two graphs are isomorphic if there is a bijective mapping between their vertices that preserves adjacency, meaning edges exist in one graph exactly when the mapped edges exist in the other."
"What is subgraph isomorphism?","Graph G1 is subgraph-isomorphic to G2 if there is an injective mapping from vertices of G1 into vertices of G2 that preserves the edge structure."
"Why is subgraph isomorphism computationally difficult?","Testing all possible injective mappings can be exponential in the number of vertices, and subgraph isomorphism is generally considered NP-hard."
"What is a graphlet kernel?","A graphlet kernel represents a graph by counting occurrences of small graph patterns, called graphlets, such as 3-node paths or triangles."
"What is the difference between graphlet feature versions 1 and 2?","Version 1 counts the number of isomorphisms mapping a graphlet to induced subgraphs of G, while Version 2 counts only how many induced subgraphs are isomorphic to the graphlet."
"What is the Weisfeiler-Lehman kernel?","The WL kernel repeatedly refines node codes using each node's previous code and the multiset of neighbor codes, then uses counts of these codes across iterations as graph features."
