"What is the main goal of variational inference?","Variational inference approximates an intractable posterior distribution p(z|x) with a simpler distribution q(z), chosen from a tractable family of distributions."
"Why is variational inference needed in probabilistic models?","Exact Bayesian inference is often impossible because computing the posterior requires evaluating an intractable integral or sum over latent variables."
"What is the variational objective function?","The objective is to find the variational distribution q(z) that is closest to the true posterior p(z|x), usually by minimizing the KL divergence KL(q(z) || p(z|x))."
"What is the Evidence Lower Bound, or ELBO?","The ELBO is a lower bound on the log evidence log p(x). Maximizing the ELBO is equivalent to minimizing the KL divergence between q(z) and the true posterior p(z|x)."
"What is the standard ELBO formula?","The ELBO can be written as ELBO(q) = E_q[log p(x,z)] - E_q[log q(z)], where the first term rewards explaining the data and the second term encourages entropy in q."
"How is the ELBO related to the posterior approximation?","The log evidence decomposes as log p(x) = ELBO(q) + KL(q(z) || p(z|x)). Since the KL divergence is non-negative, maximizing the ELBO makes q(z) closer to the true posterior."
"What is the mean-field assumption?","The mean-field assumption approximates the posterior by assuming that latent variables are independent under q, for example q(z) = product_i q_i(z_i)."
"What is the benefit and drawback of the mean-field assumption?","The benefit is that inference becomes easier and more scalable. The drawback is that dependencies between latent variables may be ignored, leading to an inaccurate posterior approximation."
"What is black-box variational inference?","Black-box variational inference is a general approach that estimates gradients of the ELBO using sampling, so the user does not need to derive model-specific update equations manually."
"How is variational inference used in probabilistic programming?","Probabilistic programming systems allow users to define probabilistic models in code, and then apply automatic inference methods such as variational inference to approximate posterior distributions."
