"What is a probabilistic graphical model?","A probabilistic graphical model represents a joint probability distribution using a graph, where nodes represent random variables and edges represent probabilistic dependencies."
"What is the main advantage of probabilistic graphical models?","They allow complex joint distributions to be represented compactly by exploiting conditional independence relationships between variables."
"What is the difference between directed and undirected graphical models?","Directed graphical models, such as Bayesian networks, use directed edges to represent conditional dependencies; undirected graphical models, such as Markov networks, use undirected edges to represent symmetric dependency relations."
"What does maximum likelihood learning try to achieve?","Maximum likelihood learning estimates model parameters by choosing the values that make the observed data as probable as possible."
"What is the likelihood function?","The likelihood function is the probability of the observed data viewed as a function of the model parameters, usually written as L(θ) = P(D | θ)."
"Why do we often maximize the log-likelihood instead of the likelihood?","The log-likelihood is easier to optimize because it turns products into sums, is numerically more stable, and has the same maximum as the original likelihood."
"When is the EM algorithm used?","The EM algorithm is used for maximum likelihood learning when the data contains hidden or missing variables, making direct optimization of the likelihood difficult."
"What are the two steps of the EM algorithm?","The E-step computes the expected values of the hidden variables using the current parameters, and the M-step updates the parameters to maximize the expected complete-data log-likelihood."
"What is Bayesian learning?","Bayesian learning treats model parameters as random variables and updates beliefs about them using Bayes' rule: posterior ∝ likelihood × prior."
"What is the difference between maximum likelihood learning and Bayesian learning?","Maximum likelihood learning returns a single best parameter estimate, while Bayesian learning computes a posterior distribution over parameters, combining prior beliefs with evidence from data."
